"","acceptedNameUsage","accessRights","adm1","adm2","associatedTaxa","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http://unknown.org/classs","http://unknown.org/occurrenceDetails","identificationID","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","locality","locationAccordingTo","locationID","lon","modified","month","municipality","nameAccordingTo","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","organismQuantity","organismQuantityType","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate"
"1",NA,NA,"Pr",NA,NA,"PRESERVED_SPECIMEN",NA,"23043","Pinopsida",194,"Parque Nacional do Iguaçu - Posto de, Pr, Brazil","HCF",NA,NA,NA,"Brazil",72,NA,"dd31ac22-63d4-4bb4-a987-5eece5ffadb8","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","2017-06-02T00:00:00.000+0000",2,NA,NA,NA,NA,NA,654,0,NA,NA,"2017-06-02T00:00:00.000+0000",NA,NA,"Araucariaceae",3924,NA,NA,"Brazil","1570755832","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.G. Caxambu","BRA:UTFPR:HCF:0000023043",NA,NA,NA,"Universidade Tecnológica Federal do Paraná (UTFPR)",NA,NA,NA,"BR",1570755832,"Plantae",6,"pt","2017-10-30T14:30:05.127+0000","2017-09-30T15:30:08.916+0000","2017-09-30T15:29:49.988+0000",-25.154056,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Parque Nacional do Iguaçu - Posto de",NA,NA,-53.845611,NA,6,"Céu Azul",NA,NA,NA,NA,"BRA:UTFPR:HCF:0000023043","árvore ca. 15 m. Semente madura avermelhada, caída ao pé da árvore.",NA,"Pinales",640,NA,NA,NA,NA,"Universidade Tecnológica Federal do Paraná (UTFPR)",NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","BR","042a7696-696b-492b-ad3e-4076807eaeed","M.G. Caxambu","7835",NA,NA,"Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão",NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,NA,2684940,NA,"SPECIES",NA,"Collection",NA,NA,NA,NA,NA,NA,NA,NA,2017,2017-11-13
"2",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"7099305","Pinopsida",194,"Brazil","Observations",NA,NA,516,"Brazil",87,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-07-18T04:47:31.000+0000",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-07-17T11:07:01.000+0000",NA,"14:07:01Z","Araucariaceae",3924,NA,NA,"Brazil","1580506894","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/7099305","14716079",NA,"7099305",NA,NA,NA,"iNaturalist",NA,NA,NA,"BR",1580506894,"Plantae",6,NA,"2017-11-06T20:36:48.091+0000","2017-10-08T15:24:58.180+0000","2017-10-08T15:24:58.140+0000",-25.440696,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-49.239196,"2017-09-22T03:59:58.000+0000",7,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/7099305",NA,NA,"Pinales",640,NA,NA,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Pedro Garcia Abilleira de Castro",NA,"https://www.inaturalist.org/observations/7099305",NA,"© Pedro Garcia Abilleira de Castro some rights reserved","Pedro Garcia Abilleira de Castro",NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,"83168",2684940,NA,"SPECIES",NA,NA,NA,NA,NA,"2017-07-17 11:07:01 AM BRT","Rua Engenheiro Ostoja Roguski, 262-306 - Jardim Botânico Curitiba - PR 80210-390",NA,NA,NA,2017,2017-11-13
"3",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"8023601","Pinopsida",194,"Brazil","Observations",NA,NA,13169,"Brazil",87,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-09-21T13:57:01.000+0000",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-20T00:00:00.000+0000",NA,NA,"Araucariaceae",3924,NA,NA,"Brazil","1668839384","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/8023601","16962213",NA,"8023601",NA,NA,NA,"iNaturalist",NA,NA,NA,"BR",1668839384,"Plantae",6,NA,"2017-11-06T20:38:18.004+0000","2017-10-13T08:31:58.352+0000","2017-10-13T08:31:58.320+0000",-26.983276,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-53.539124,"2017-09-22T04:24:46.000+0000",1,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/8023601","Symbol of Paraná and Santa Catarina (states), <3 this tree. All photos were taken in the same region",NA,"Pinales",640,NA,NA,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jean Wickert",NA,"https://www.inaturalist.org/observations/8023601",NA,"by Jean Wickert no rights reserved","Jean Wickert",NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,"83168",2684940,NA,"SPECIES",NA,NA,NA,NA,NA,"2016/01/20 5:47 PM -02","Iporã do Oeste, SC, 89899-000, Brazil",NA,NA,NA,2016,2017-11-13
"4",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"-1589878896","Pinopsida",194,"TK25 Blatt 4947/4 - Freital / Wurgwitz / Pesterwitz, Germany","naturgucker",NA,NA,25,"Germany",48,NA,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-31T00:00:00.000+0000",NA,NA,"Araucariaceae",3924,NA,NA,"Germany","1676685541","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"naturgucker",NA,NA,NA,"DE",1676685541,"Plantae",6,NA,"2017-11-01T13:29:37.785+0000","2017-11-01T13:29:38.436+0000","2017-11-01T13:29:37.958+0000",51.021103,"http://creativecommons.org/licenses/by/4.0/legalcode","TK25 Blatt 4947/4 - Freital / Wurgwitz / Pesterwitz",NA,NA,13.599063,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Pinales",640,NA,NA,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"BIOCASE","DE","bb646dff-a905-4403-a49b-6d378c2cf0d9","-251188474",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,NA,2684940,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017-11-13
"5",NA,NA,"Rs",NA,NA,"PRESERVED_SPECIMEN",NA,"185671","Pinopsida",194,"Proximidades do Assentamento Nova Esmeralda. Antes da Serra dos Gregórios. Propriedade do Sr. Nenzo e Sra. Neusa., Rs, Brazil, SOUTH_AMERICA","ICN",NA,"SOUTH_AMERICA",NA,"Brazil",72,NA,"2273e40d-26c2-4959-aea2-b6abcce16d09","ICN - Herbário do Instituto de Ciências Naturais","2016-04-01T00:00:00.000+0000",1,NA,NA,NA,NA,NA,750,0,NA,NA,"2016-04-01T00:00:00.000+0000",NA,NA,"Araucariaceae",3924,NA,NA,"Brazil","1275069315","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Köhler, M","BRA:UFRGS:ICN:0000185671",NA,NA,NA,"UFRGS",NA,NA,NA,"BR",1275069315,"Plantae",6,"pt","2017-11-06T18:33:35.060+0000","2017-11-06T18:34:13.482+0000","2017-11-06T18:33:35.124+0000",-27.826944,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Proximidades do Assentamento Nova Esmeralda. Antes da Serra dos Gregórios. Propriedade do Sr. Nenzo e Sra. Neusa.",NA,NA,-51.240556,NA,4,"Pinhal da Serra",NA,NA,NA,NA,"BRA:UFRGS:ICN:0000185671","Material testemunho da caracterização dos frutos, projeto BFN/MMA.; Indivíduos adultos, sadios, altura aprox. 12-15m, ramos apicais bem desenvolvidos (copados) radialmente. Produção de pinhas maduras e imaturas. População manejada par",NA,"Pinales",640,NA,NA,NA,NA,"Universidade Federal do Rio Grande do Sul (UFRGS)",NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","BR","04481953-6112-489f-bb8d-9703d787e3ea","Köhler, M","88",NA,NA,"Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","ICN - Herbário do Instituto de Ciências Naturais",NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,NA,2684940,NA,"SPECIES",NA,"Collection",NA,NA,NA,NA,NA,NA,NA,NA,2016,2017-11-13
"6",NA,NA,"Pr",NA,NA,"PRESERVED_SPECIMEN",NA,"185672","Pinopsida",194,"Proximidades do Rio Jangadai, entre General Vitorino e Porto União., Pr, Brazil, SOUTH_AMERICA","ICN",NA,"SOUTH_AMERICA",NA,"Brazil",72,NA,"2273e40d-26c2-4959-aea2-b6abcce16d09","ICN - Herbário do Instituto de Ciências Naturais","2016-05-18T00:00:00.000+0000",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-18T00:00:00.000+0000",NA,NA,"Araucariaceae",3924,NA,NA,"Brazil","1275069309","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Köhler, M","BRA:UFRGS:ICN:0000185672",NA,NA,NA,"UFRGS",NA,NA,NA,"BR",1275069309,"Plantae",6,"pt","2017-11-06T18:33:34.924+0000","2017-11-06T18:34:13.413+0000","2017-11-06T18:33:35.070+0000",-26.546111,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Proximidades do Rio Jangadai, entre General Vitorino e Porto União.",NA,NA,-51.400556,NA,5,"General Carneiro",NA,NA,NA,NA,"BRA:UFRGS:ICN:0000185672","Material testemunho da caracterização dos frutos, projeto BFN/MMA.; Indivíduos adultos, plenamente sadios e vigorosos, altura ca. 15-30m. Copa radial, bem desenvolvida. Produção de pinhas e pinhões.; Mosaico de campos e de Floresta Om",NA,"Pinales",640,NA,NA,NA,NA,"Universidade Federal do Rio Grande do Sul (UFRGS)",NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","BR","04481953-6112-489f-bb8d-9703d787e3ea","Köhler, M; et al.","96",NA,NA,"Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","ICN - Herbário do Instituto de Ciências Naturais",NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,NA,2684940,NA,"SPECIES",NA,"Collection",NA,NA,NA,NA,NA,NA,NA,NA,2016,2017-11-13
"7",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"8461211","Pinopsida",194,"Brazil","Observations",NA,NA,NA,"Brazil",87,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-10-19T02:44:05.000+0000",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-15T00:00:00.000+0000",NA,NA,"Araucariaceae",3924,NA,NA,"Brazil","1699368327","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/8461211","17942446",NA,"8461211",NA,NA,NA,"iNaturalist",NA,NA,NA,"BR",1699368327,"Plantae",6,NA,"2017-11-06T20:38:58.107+0000","2017-11-06T20:38:58.174+0000","2017-11-06T20:38:58.123+0000",-26.284212,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-49.354992,"2017-10-31T12:11:02.000+0000",5,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/8461211",NA,NA,"Pinales",640,NA,NA,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Nelson Wisnik",NA,"https://www.inaturalist.org/observations/8461211",NA,"© Nelson Wisnik some rights reserved","Nelson Wisnik",NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,"83168",2684940,NA,"SPECIES",NA,NA,NA,NA,NA,"2016/05/15 3:19 PM -03","São Bento do Sul - SC, Brasil",NA,NA,NA,2016,2017-11-13
"8",NA,NA,"Sc",NA,NA,"PRESERVED_SPECIMEN",NA,"187150","Pinopsida",194,"Localidade da Mortantade, propriedade do Agricultor e Extrativista Sr. Silvino de Liz Rosa, Sc, Brazil, SOUTH_AMERICA","ICN",NA,"SOUTH_AMERICA",NA,"Brazil",72,NA,"2273e40d-26c2-4959-aea2-b6abcce16d09","ICN - Herbário do Instituto de Ciências Naturais","2016-06-06T00:00:00.000+0000",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-06T00:00:00.000+0000",NA,NA,"Araucariaceae",3924,NA,NA,"Brazil","1291044861","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Köhler, M","BRA:UFRGS:ICN:0000187150",NA,NA,NA,"UFRGS",NA,NA,NA,"BR",1291044861,"Plantae",6,"pt","2017-11-06T18:33:35.478+0000","2017-11-06T18:34:14.224+0000","2017-11-06T18:33:35.495+0000",-27.9275,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Localidade da Mortantade, propriedade do Agricultor e Extrativista Sr. Silvino de Liz Rosa",NA,NA,-50.1275,NA,6,"Painel",NA,NA,NA,NA,"BRA:UFRGS:ICN:0000187150","Material testemunho da caracterização dos frutos, projeto BFN/MMA.; Indivíduos adultos, plenamente sadios e vigorosos, altura ca. 15-30m. Copa radial, bem desenvolvida. Produção de pinhas e pinhões abundantes.; Campos de cima da Serra",NA,"Pinales",640,NA,NA,NA,NA,"Universidade Federal do Rio Grande do Sul (UFRGS)",NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","BR","04481953-6112-489f-bb8d-9703d787e3ea","Köhler, M; et al.","98",NA,NA,"Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","ICN - Herbário do Instituto de Ciências Naturais",NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,NA,2684940,NA,"SPECIES",NA,"Collection",NA,NA,NA,NA,NA,NA,NA,NA,2016,2017-11-13
"9",NA,NA,"Minas Gerais",NA,NA,"PRESERVED_SPECIMEN",NA,"RB01223314","Pinopsida",194,"Rd SE from MG 158 in front of Passa Quatro (near outlet stores) 10-12 km form main rd, Minas Gerais, Brazil","RB",NA,NA,NA,"Brazil",163,NA,"4300f8d5-1ae5-49e5-a101-63894b005868","RB - Rio de Janeiro Botanical Garden Herbarium Collection",NA,24,NA,NA,NA,NA,NA,1273,NA,NA,NA,"2016-10-24T00:00:00.000+0000",NA,NA,"Araucariaceae",3924,NA,NA,"Brazil","1435461497","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1223314",NA,NA,NA,"JBRJ",NA,NA,NA,"BR",1435461497,"Plantae",6,NA,"2017-11-09T17:38:51.753+0000","2017-11-09T17:39:40.505+0000","2017-11-09T17:38:51.797+0000",-22.420556,"http://creativecommons.org/licenses/by/4.0/legalcode","Rd SE from MG 158 in front of Passa Quatro (near outlet stores) 10-12 km form main rd",NA,NA,-44.938889,"2017-10-15T12:26:06.000+0000",10,"Passa Quatro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1223314",NA,NA,"Pinales",640,NA,NA,NA,"675293",NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","BR","838537fc-4aeb-4980-8b58-97fbdcd1d91a","M.M. Vasconcellos","12",NA,NA,NA,"Rio de Janeiro Botanical Garden",NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,NA,2684940,NA,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,2016,2017-11-13
"10",NA,NA,"Minas Gerais",NA,NA,"PRESERVED_SPECIMEN",NA,"RB01223310","Pinopsida",194,"Dirt Rd from Marmelopolis to Passa Qautro, through Marins, Minas Gerais, Brazil","RB",NA,NA,NA,"Brazil",163,NA,"4300f8d5-1ae5-49e5-a101-63894b005868","RB - Rio de Janeiro Botanical Garden Herbarium Collection",NA,23,NA,NA,NA,NA,NA,1558,NA,NA,NA,"2016-10-23T00:00:00.000+0000",NA,NA,"Araucariaceae",3924,NA,NA,"Brazil","1435461486","Araucaria","Araucaria",2684910,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1223310",NA,NA,NA,"JBRJ",NA,NA,NA,"BR",1435461486,"Plantae",6,NA,"2017-11-09T17:38:51.823+0000","2017-11-09T17:39:40.770+0000","2017-11-09T17:38:51.872+0000",-22.458333,"http://creativecommons.org/licenses/by/4.0/legalcode","Dirt Rd from Marmelopolis to Passa Qautro, through Marins",NA,NA,-45.105833,"2017-10-15T14:36:40.000+0000",10,"Marmelópolis",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1223310",NA,NA,"Pinales",640,NA,NA,NA,"675291",NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","BR","838537fc-4aeb-4980-8b58-97fbdcd1d91a","M.M. Vasconcellos","11",NA,NA,NA,"Rio de Janeiro Botanical Garden",NA,"Araucaria angustifolia (Bertol.) Kuntze",NA,NA,"Araucaria angustifolia",2684940,"angustifolia",NA,NA,2684940,NA,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,2016,2017-11-13
