"","lon","lat"
"1",-51.17444722,-29.14158611
"2",-50.16018333,-29.04721389
"3",-50.24805833,-28.99053889
"4",-50.20242222,-28.80619444
"5",-51.09139722,-28.79391111
"6",-50.7779,-28.68526667
"7",-50.43388889,-28.669225
"8",-49.85299722,-28.46196111
"9",-50.86586944,-28.44298889
"10",-50.24805833,-28.41693889
"11",-49.63776667,-28.33816667
"12",-49.94620833,-28.28920833
"13",-52.19099167,-28.28659167
"14",-52.40961389,-28.25803056
"15",-51.16670556,-28.22818056
"16",-51.19375833,-28.05300556
"17",-49.59323889,-28.01608889
"18",-49.87337222,-27.95617222
"19",-50.51028333,-27.93943333
"20",-50.09766667,-27.92391111
"21",-50.76004722,-27.89803611
"22",-49.77586389,-27.85968889
"23",-50.32635556,-27.81546389
"24",-49.48748056,-27.79949167
"25",-50.86776111,-27.7947
"26",-49.94317778,-27.74571389
"27",-51.19593333,-27.74289722
"28",-49.99732778,-27.69803333
"29",-50.57379722,-27.66068611
"30",-50.36212778,-27.58856667
"31",-50.15820833,-27.58351111
"32",-50.37686944,-27.48400556
"33",-50.12380833,-27.47975278
"34",-49.36969167,-27.4575
"35",-51.23627778,-27.39476111
"36",-52.02636389,-27.23397222
"37",-53.26466,-27.158735
"38",-52.175,-27.08611111
"39",-52.77835278,-27.08425
"40",-52.13277778,-27.0575
"41",-51.95766667,-27.03511389
"42",-51.90201667,-27.02968333
"43",-52.16611111,-27.0275
"44",-51.01666667,-27.01666667
"45",-52.18943056,-27.00055278
"46",-51.73501667,-26.99984444
"47",-53.39061,-26.994311
"48",-52.00882222,-26.87793056
"49",-52.00836667,-26.87535556
"50",-50.91666667,-26.85
"51",-52.05982222,-26.79180833
"52",-51.60444444,-26.58305556
"53",-51.97057222,-26.493875
"54",-51.306225,-26.42807222
"55",-51.37472222,-26.39305556
"56",-50.29938056,-26.12411389
"57",-51.41392,-26.096854
"58",-49.79668333,-26.08528611
"59",-52.39594,-26.02
"60",-52.04846944,-25.57606111
"61",-49.26538333,-25.42442778
"62",-50.54418333,-25.40924167
"63",-51.92528,-25.38882
"64",-51.468725,-25.36775278
"65",-49.23333333,-25.33333333
"66",-49.15711111,-25.31983333
"67",-49.18554444,-24.68645833
"68",-51.9375,-24.43388889
"69",-52.02154,-24.237851
"70",-49.33684444,-24.2293
"71",-48.90318611,-24.12619167
"72",-50.18716389,-23.84083056
"73",-50.40903056,-23.83499722
"74",-46.10035,-22.76158611
"75",-45.59634722,-22.74292778
"76",-45.925,-22.70833333
"77",-45.206775,-22.60158056
"78",-44.73583889,-22.55730278
"79",-44.63333333,-22.36666667
"80",-51.81861,-26.79861
"81",-51.86083,-26.80111
"82",-51.97528,-26.76056
"83",-51.865,-26.78611
"84",-52.0225,-26.81528
"85",-51.80667,-26.82667
"86",-51.96556,-26.75389
"87",-51.935,-26.70194
"88",-51.97833,-26.83139
"89",-51.98861,-26.83472
"90",-51.93389,-26.72472
"91",-49.63097,-28.13991
"92",-49.63358,-28.15519
"93",-49.63946,-28.15463
"94",-49.48942,-28.11458
"95",-49.50261,-28.1069
"96",-49.5073,-28.0813
"97",-49.3746,-28.00789
"98",-49.37294,-28.00357
"99",-49.36899,-27.99919
"100",-49.44243,-27.8971
"101",-49.39246,-27.90066
"102",-49.39031,-27.90049
"103",-50.29334,-28.04294
"104",-50.29504,-28.04667
"105",-50.29494,-28.04956
"106",-49.23638889,-25.45305556
"107",-49.19472222,-25.51
"108",-51.01166667,-26.77444444
"109",-50.58416667,-27.28305556
"110",-50.30777778,-26.16277778
"111",-49.62416667,-27.01611111
"112",-49.80555556,-26.12166667
"113",-49.40583333,-23.59138889
"114",-51.45861111,-25.38305556
"115",-51.63777778,-25.70472222
"116",-50.40083333,-26.95916667
"117",-50.44333333,-27.15027778
"118",-50.37638889,-26.20305556
"119",-49.62888889,-26.15111111
"120",-49.90222222,-26.34666667
"121",-50.17444,-29.48083
"122",-50.57556,-29.42056
"123",-51.24954,-29.27623
"124",-49.48611,-28.93528
"125",-49.94767,-28.439
"126",-49.94778,-28.43889
"127",-49.39732194,-28.39702027
"128",-50.55167,-28.34806
"129",-49.91666,-28.3
"130",-49.76908,-28.26053
"131",-50.67011,-28.26019
"132",-49.49833,-28.08278
"133",-50.84972,-28.035
"134",-49.82207,-28.02516
"135",-49.49194,-28.01306
"136",-50.80361,-27.98889
"137",-50.1275,-27.9275
"138",-51.155,-27.90139
