"","Species","lon","lat","Presence"
"1","Araucaria_angustifolia",-51.17444722,-29.14158611,1
"2","Araucaria_angustifolia",-50.16018333,-29.04721389,1
"3","Araucaria_angustifolia",-50.24805833,-28.99053889,1
"4","Araucaria_angustifolia",-50.20242222,-28.80619444,1
"5","Araucaria_angustifolia",-51.09139722,-28.79391111,1
"6","Araucaria_angustifolia",-50.7779,-28.68526667,1
"7","Araucaria_angustifolia",-50.43388889,-28.669225,1
"8","Araucaria_angustifolia",-49.85299722,-28.46196111,1
"9","Araucaria_angustifolia",-50.86586944,-28.44298889,1
"10","Araucaria_angustifolia",-50.24805833,-28.41693889,1
"11","Araucaria_angustifolia",-49.63776667,-28.33816667,1
"12","Araucaria_angustifolia",-49.94620833,-28.28920833,1
"13","Araucaria_angustifolia",-52.19099167,-28.28659167,1
"14","Araucaria_angustifolia",-52.40961389,-28.25803056,1
"15","Araucaria_angustifolia",-51.16670556,-28.22818056,1
"16","Araucaria_angustifolia",-51.19375833,-28.05300556,1
"17","Araucaria_angustifolia",-49.59323889,-28.01608889,1
"18","Araucaria_angustifolia",-49.87337222,-27.95617222,1
"19","Araucaria_angustifolia",-50.51028333,-27.93943333,1
"20","Araucaria_angustifolia",-50.09766667,-27.92391111,1
"21","Araucaria_angustifolia",-50.76004722,-27.89803611,1
"22","Araucaria_angustifolia",-49.77586389,-27.85968889,1
"23","Araucaria_angustifolia",-50.32635556,-27.81546389,1
"24","Araucaria_angustifolia",-49.48748056,-27.79949167,1
"25","Araucaria_angustifolia",-50.86776111,-27.7947,1
"26","Araucaria_angustifolia",-49.94317778,-27.74571389,1
"27","Araucaria_angustifolia",-51.19593333,-27.74289722,1
"28","Araucaria_angustifolia",-49.99732778,-27.69803333,1
"29","Araucaria_angustifolia",-50.57379722,-27.66068611,1
"30","Araucaria_angustifolia",-50.36212778,-27.58856667,1
"31","Araucaria_angustifolia",-50.15820833,-27.58351111,1
"32","Araucaria_angustifolia",-50.37686944,-27.48400556,1
"33","Araucaria_angustifolia",-50.12380833,-27.47975278,1
"34","Araucaria_angustifolia",-49.36969167,-27.4575,1
"35","Araucaria_angustifolia",-51.23627778,-27.39476111,1
"36","Araucaria_angustifolia",-52.02636389,-27.23397222,1
"37","Araucaria_angustifolia",-53.26466,-27.158735,1
"38","Araucaria_angustifolia",-52.175,-27.08611111,1
"39","Araucaria_angustifolia",-52.77835278,-27.08425,1
"40","Araucaria_angustifolia",-52.13277778,-27.0575,1
"41","Araucaria_angustifolia",-51.95766667,-27.03511389,1
"42","Araucaria_angustifolia",-51.90201667,-27.02968333,1
"43","Araucaria_angustifolia",-52.16611111,-27.0275,1
"44","Araucaria_angustifolia",-51.01666667,-27.01666667,1
"45","Araucaria_angustifolia",-52.18943056,-27.00055278,1
"46","Araucaria_angustifolia",-51.73501667,-26.99984444,1
"47","Araucaria_angustifolia",-53.39061,-26.994311,1
"48","Araucaria_angustifolia",-52.00882222,-26.87793056,1
"49","Araucaria_angustifolia",-52.00836667,-26.87535556,1
"50","Araucaria_angustifolia",-50.91666667,-26.85,1
"51","Araucaria_angustifolia",-52.05982222,-26.79180833,1
"52","Araucaria_angustifolia",-51.60444444,-26.58305556,1
"53","Araucaria_angustifolia",-51.97057222,-26.493875,1
"54","Araucaria_angustifolia",-51.306225,-26.42807222,1
"55","Araucaria_angustifolia",-51.37472222,-26.39305556,1
"56","Araucaria_angustifolia",-50.29938056,-26.12411389,1
"57","Araucaria_angustifolia",-51.41392,-26.096854,1
"58","Araucaria_angustifolia",-49.79668333,-26.08528611,1
"59","Araucaria_angustifolia",-52.39594,-26.02,1
"60","Araucaria_angustifolia",-52.04846944,-25.57606111,1
"61","Araucaria_angustifolia",-49.26538333,-25.42442778,1
"62","Araucaria_angustifolia",-50.54418333,-25.40924167,1
"63","Araucaria_angustifolia",-51.92528,-25.38882,1
"64","Araucaria_angustifolia",-51.468725,-25.36775278,1
"65","Araucaria_angustifolia",-49.23333333,-25.33333333,1
"66","Araucaria_angustifolia",-49.15711111,-25.31983333,1
"67","Araucaria_angustifolia",-49.18554444,-24.68645833,1
"68","Araucaria_angustifolia",-51.9375,-24.43388889,1
"69","Araucaria_angustifolia",-52.02154,-24.237851,1
"72","Araucaria_angustifolia",-50.18716389,-23.84083056,1
"73","Araucaria_angustifolia",-50.40903056,-23.83499722,1
"75","Araucaria_angustifolia",-45.59634722,-22.74292778,1
"77","Araucaria_angustifolia",-45.206775,-22.60158056,1
